Key,Marginal_Cost_(EUR/MWh),Capacity_(MW),%_Price-setting
energy_power_combined_cycle_network_gas,63.10005358633602,4968.000000000001,38.333333333333336
import_from_de,53.67002629256679,2449.0,22.625570776255707
agriculture_chp_engine_network_gas,79.97000000000001,2489.0,12.317351598173516
energy_power_ultra_supercritical_cofiring_coal,59.084765331633385,1414.1217391304356,7.751141552511416
energy_chp_combined_cycle_network_gas,89.46471940905144,3035.752572247012,7.066210045662101
buildings_collective_chp_network_gas,79.97000000000001,570.6666434588851,3.515981735159817
energy_chp_ultra_supercritical_cofiring_coal,67.3207174189161,474.3078260869564,2.9337899543378994
energy_chp_ultra_supercritical_coal,51.5783848804289,802.0173913043474,2.6484018264840183
energy_power_ultra_supercritical_coal,44.66585640534482,1080.0,1.3584474885844748
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,436.67307692307696,1.0616438356164384
energy_power_ultra_supercritical_network_gas,94.21695537950401,3456.0,0.28538812785388123
energy_power_combined_cycle_coal,44.60278892270678,211.55777851176316,0.091324200913242
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.01141552511415525
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,705.3353999999999,0.0
energy_chp_supercritical_waste_mix,0.0,464.4,0.0
energy_chp_ultra_supercritical_lignite,48.923727725714286,0.0,0.0
energy_power_combined_cycle_ccs_coal,32.529545692125545,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,70.39619368397705,0.0,0.0
energy_power_engine_diesel,216.67700113684205,0.0,0.0
energy_power_engine_network_gas,78.86412948292002,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,56.83987972825432,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_turbine_network_gas,111.29052152735767,194.69387755102053,0.0
energy_power_ultra_supercritical_ccs_coal,39.16434662870432,0.0,0.0
energy_power_ultra_supercritical_crude_oil,150.80907518830105,0.0,0.0
energy_power_ultra_supercritical_lignite,43.84576176,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,29.466415726259317,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,79.97000000000001,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2482.6805616494307,0.0
industry_chp_combined_cycle_gas_power_fuelmix,100.4951621212419,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,91.49282327206954,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,111.50254760768843,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,65.8378556739052,0.0,0.0
emergency_price,"","",0.0
